timestamp,image_source,tag_name,probability,bbox_left,bbox_top,bbox_width,bbox_height
2025-12-05T17:05:38.216061,Subway_General_1764829092943_6.jpg,Subway,0.8023,0.1973,0.0416,0.8027,0.6076
2025-12-05T17:05:38.216061,Subway_General_1764829092943_6.jpg,Subway,0.6113,0.0000,0.1232,0.7434,0.6557
2025-12-05T19:30:19.987069,Subway_General_1764829092943_6.jpg,Subway,0.9222,0.1485,0.3079,0.8515,0.6921
2025-12-05T19:30:19.987069,Subway_General_1764829092943_6.jpg,Subway,0.8023,0.1973,0.0416,0.8027,0.6076
2025-12-05T19:30:19.987069,Subway_General_1764829092943_6.jpg,Subway,0.6113,0.0000,0.1232,0.7434,0.6557
2025-12-05T19:42:37.231492,images (2).jpg,Burger King,0.9049,0.7678,0.0915,0.1793,0.2635
2025-12-05T19:42:37.231492,images (2).jpg,Burger King,0.7942,0.2007,0.2447,0.6983,0.7553
2025-12-05T19:42:37.231492,images (2).jpg,Burger King,0.5875,0.0059,0.1005,0.6741,0.7960
2025-12-05T19:46:56.970686,images (2).jpg,Burger King,0.9049,0.7678,0.0915,0.1793,0.2635
2025-12-05T19:46:56.970686,images (2).jpg,Burger King,0.7942,0.2007,0.2447,0.6983,0.7553
2025-12-05T19:46:56.970686,images (2).jpg,Burger King,0.5875,0.0059,0.1005,0.6741,0.7960
2025-12-05T19:47:53.939270,images (4).jpg,Burger King,0.7130,0.1841,0.2653,0.8159,0.6375
2025-12-05T19:47:53.939270,images (4).jpg,Taco Bell,0.6519,0.1458,0.0548,0.8542,0.7234
2025-12-05T19:47:53.939270,images (4).jpg,Taco Bell,0.5674,0.0000,0.3231,0.8261,0.6769
2025-12-05T19:48:09.554188,images (4).jpg,Burger King,0.7130,0.1841,0.2653,0.8159,0.6375
2025-12-05T19:48:09.554188,images (4).jpg,Taco Bell,0.6519,0.1458,0.0548,0.8542,0.7234
2025-12-05T19:48:09.554188,images (4).jpg,Taco Bell,0.5674,0.0000,0.3231,0.8261,0.6769
2025-12-05T19:48:14.130656,images (4).jpg,Burger King,0.7130,0.1841,0.2653,0.8159,0.6375
2025-12-05T19:48:14.130656,images (4).jpg,Taco Bell,0.6519,0.1458,0.0548,0.8542,0.7234
2025-12-05T19:48:14.130656,images (4).jpg,Taco Bell,0.5674,0.0000,0.3231,0.8261,0.6769
2025-12-05T19:48:19.781650,images (4).jpg,Burger King,0.7130,0.1841,0.2653,0.8159,0.6375
2025-12-05T19:48:19.781650,images (4).jpg,Taco Bell,0.6519,0.1458,0.0548,0.8542,0.7234
2025-12-05T19:48:19.781650,images (4).jpg,Taco Bell,0.5674,0.0000,0.3231,0.8261,0.6769
2025-12-05T19:51:03.441315,Screenshot 2025-12-05 195034.png,Subway,0.8419,0.0000,0.0000,0.6588,0.6999
2025-12-05T19:51:03.441315,Screenshot 2025-12-05 195034.png,Taco Bell,0.5131,0.3300,0.0000,0.6700,0.6960
2025-12-05T19:51:28.355553,Screenshot 2025-12-05 195034.png,Subway,0.8419,0.0000,0.0000,0.6588,0.6999
2025-12-05T19:51:28.355553,Screenshot 2025-12-05 195034.png,Taco Bell,0.5131,0.3300,0.0000,0.6700,0.6960
2025-12-05T20:05:01.476651,images (2).jpg,Burger King,0.9152,0.7828,0.0865,0.1514,0.2593
2025-12-05T20:05:01.476651,images (2).jpg,Burger King,0.6414,0.0000,0.0919,0.6975,0.8124
